district_id,percent_economically_disadvantaged,subject,avg_scaled_score1,avg_scaled_score
3250000,42.6,ELA,494,495.0623
3250000,42.6,MATH,486,495.0623
3250000,42.6,SCI,492,495.0623
3310000,29.2,MATH,492,495.0623
3360000,35.7,ELA,494,495.0623
3360000,35.7,MATH,489,495.0623
3360000,35.7,SCI,492,495.0623
7800000,24,MATH,490,495.0623
3430000,50,ELA,491,495.0623
3430000,50,MATH,480,495.0623
3430000,50,SCI,491,495.0623
3460000,32.2,MATH,488,495.0623
3460000,32.2,SCI,493,495.0623
3470000,33.7,MATH,491,495.0623
3470000,33.7,SCI,494,495.0623
3480000,63.7,ELA,486,495.0623
3480000,63.7,MATH,477,495.0623
3480000,63.7,SCI,482,495.0623
3490000,36.2,ELA,495,495.0623
3490000,36.2,MATH,485,495.0623
3500000,10.9,MATH,492,495.0623
0,37.3,MATH,490,495.0623
0,37.3,SCI,495,495.0623
